Permalink,title,description,visual_first_3_seconds,background_music_type_first_3_seconds,published_time_ist,seven_day_views,year,quarter,target,Primary_Category_1_grouped,Video_Type_1_1_final,Video_Type_2_final,voice_first_3_seconds_grouped,thumbnail_1_grouped,thumbnail_sentiment_1_grouped,Secondary_Category_1_new,Secondary_Category_2_new,time_distribution,date
https://www.facebook.com/1954072204870360/posts/2461012497509659/,how reliance foundation gave wings to mustaque laskar's dreams?,"कहानी mustaque laskar की, जिसे reliance foundation ने दिया मौका 

reliance foundation reliance foundation youth sports",famous personality (fp),no music,2019-10-11 20:35:00,3553,2019,4,low,sports & games,rare,rare,voice of famous personality(fpv),commoner,happy,rare,no_secondary_category,6 PM - 9 PM,2019-10-11
https://www.facebook.com/1954072204870360/posts/2461837077427201/,pm modi's special aircraft to be flown by iaf pilots,अगले साल से किस aircraft में सफर करेंगे pm modi?,other,loud,2019-10-13 10:05:00,2857,2019,4,low,politics,informative,rare,text only(to),object,neutral,rare,famous personality,9 AM - 12 PM,2019-10-13
https://www.facebook.com/1954072204870360/posts/2462466620697580/,sbi decreases interest rates for savings account,sbi ने customers को दिया झटका,other,relevant,2019-10-13 15:05:01,3715,2019,4,average,government,informative,rare,text only(to),rare,neutral,rare,no_secondary_category,3 PM - 6 PM,2019-10-13
https://www.facebook.com/1954072204870360/posts/2461922570751985/,sandeep singh's journey from hockey to politics,"hockey के मैदान से लोकतंत्र के मैदान तक, sandeep singh",famous personality (fp),relevant,2019-10-13 11:00:00,1803,2019,4,low,sports & games,profile,rare,text only(to),famous personality,neutral,rare,famous personality,9 AM - 12 PM,2019-10-13
https://www.facebook.com/1954072204870360/posts/2460816194195956/,babita phogat to contest haryana elections,"सियासी दंगल में उतरीं babita phogat, haryana election में चलेगा अब इनका चुनावी दाव

babita phogat",famous personality (fp),relevant,2019-10-11 19:05:00,3228,2019,4,low,politics,informative,rare,text only(to),famous personality,happy,famous personality,rare,6 PM - 9 PM,2019-10-11
https://www.facebook.com/1954072204870360/posts/2461842164093359/,the face of maharashtra politics - devendra fadnavis,"devendra fadnavis, maharashtra की राजनीति का एक मजबूत चेहरा",famous personality (fp),relevant,2019-10-12 19:05:01,2580,2019,4,low,politics,informative,rare,text only(to),famous personality,happy,famous personality,no_secondary_category,6 PM - 9 PM,2019-10-12
https://www.facebook.com/1954072204870360/posts/2460194744258101/,aaditya thackeray to make elections debut for his family,"पहली बार चुनाव में उतर रहा है balasaheb thackeray के परिवार का कोई सदस्य

shivsena",famous personality (fp),loud,2019-10-11 09:00:00,6446,2019,4,average,politics,informative,rare,text only(to),famous personality,neutral,famous personality,other,6 AM - 9 AM,2019-10-11
https://www.facebook.com/1954072204870360/posts/2459987100945532/,viral: monkey grooms uttar pradesh cop,बंदर निकाल रहा है sho के सिर से जूं,commoner (np),loud,2019-10-10 20:35:00,8959,2019,4,high,rare,emotions,rare,text only(to),rare,neutral,rare,rare,6 PM - 9 PM,2019-10-10
https://www.facebook.com/1954072204870360/posts/2463666340577608/,mithal raj smashes 'perfect 20',"mithali raj ने बनाया record, 20 साल तक cricket खेलने वाली पहली female player 

mithali raj",famous personality (fp),relevant,2019-10-15 10:00:00,8616,2019,4,high,sports & games,profile,inspiring,text only(to),famous personality,happy,cricket,famous personality,9 AM - 12 PM,2019-10-15
https://www.facebook.com/1954072204870360/posts/2460087210935521/,chinese president xi jinping to visit india,"india आने से पहले china के president ने की kashmir मुद्दे पर बात, mea ने दिया कड़ा जवाब

narendra modi ministry of external affairs, government of india",famous personality (fp),low,2019-10-10 21:35:00,3544,2019,4,low,global news,informative,rare,text only(to),famous personality,happy,political,no_secondary_category,9 PM - 12 AM,2019-10-10
https://www.facebook.com/1954072204870360/posts/2497858593825049/,pune couple that installed oxygen plant for siachen warriors,कौन है ये दंपत्ति जिन्होंने सियाचिन के जवानों के लिए बेच दिया अपना कीमती सामान?,commoner (np),relevant,2019-11-20 08:00:00,13612,2019,4,high,rare,informative,rare,text only(to),crowd,happy,person specific,no_secondary_category,6 AM - 9 AM,2019-11-20
https://www.facebook.com/1954072204870360/posts/2466178210326421/,mumbai girls to participate in robotics event in dubai,"5 लड़कियां जाएंगी robots बनाने के लिए dubai 

first global",crowd,relevant,2019-10-17 12:05:00,8560,2019,4,high,rare,informative,rare,text only(to),crowd,action,person specific,no_secondary_category,12 PM - 03 PM,2019-10-17
https://www.facebook.com/1954072204870360/posts/2459957057615203/,isl's role in sandesh jhingan's career,"किस तरह isl ने बदली sandesh jhingan की जिंदगी?

sandesh jhingan isl- indian super league",famous personality (fp),relevant,2019-10-10 16:35:00,1831,2019,4,low,sports & games,informative,rare,voice of famous personality(fpv),commoner,action,rare,famous personality,3 PM - 6 PM,2019-10-10
